날짜,종목코드,Close,Open,High,Low,Volume,일별수익률,변동성(20일),종목명,시장구분
2009-12-16,005930,15600,15599,15720,15500,399330,0.0038610038610038533,420.08019284543064,삼성전자,KOSPI
2009-12-17,005930,15300,15620,15620,15300,317829,-0.019230769230769273,421.0263149670558,삼성전자,KOSPI
2009-12-18,005930,15460,15200,15580,15159,406524,0.010457516339869244,425.1018453822214,삼성전자,KOSPI
2009-12-21,005930,15420,15460,15540,15339,291763,-0.002587322121604174,427.94490545543925,삼성전자,KOSPI
2009-12-22,005930,15620,15500,15620,15460,245910,0.012970168612191912,427.9928676238004,삼성전자,KOSPI
2009-12-23,005930,15680,15760,15760,15560,250159,0.003841229193341844,433.42455180257747,삼성전자,KOSPI
2009-12-24,005930,15800,15700,15880,15640,407107,0.007653061224489832,435.98527256633224,삼성전자,KOSPI
2009-12-28,005930,15740,15800,15860,15580,235595,-0.0037974683544304,360.99861495579523,삼성전자,KOSPI
2009-12-29,005930,15720,15720,15740,15600,136900,-0.0012706480304955914,278.6735498184637,삼성전자,KOSPI
2009-12-30,005930,15980,15760,15980,15740,295625,0.01653944020356235,242.88615483499527,삼성전자,KOSPI
2010-01-04,005930,16180,16060,16180,16000,239271,0.01251564455569465,241.53892570677334,삼성전자,KOSPI
2010-01-05,005930,16440,16520,16580,16300,559219,0.01606922126081578,287.3087464548846,삼성전자,KOSPI
2010-01-06,005930,16820,16580,16820,16520,459755,0.02311435523114347,371.0525569242231,삼성전자,KOSPI
2010-01-07,005930,16260,16820,16820,16260,443237,-0.03329369797859694,380.5812728750087,삼성전자,KOSPI
2010-01-08,005930,16420,16400,16420,16120,295798,0.009840098400984099,397.2259068246125,삼성전자,KOSPI
2010-01-11,005930,15940,16420,16460,15940,398901,-0.02923264311814855,392.74472759368246,삼성전자,KOSPI
2010-01-12,005930,16180,15940,16180,15900,384460,0.015056461731492998,398.97104498553074,삼성전자,KOSPI
2010-01-13,005930,15940,16100,16119,15940,267619,-0.014833127317676165,397.22590682461276,삼성전자,KOSPI
2010-01-14,005930,16540,16120,16620,16000,532705,0.03764115432873272,416.47518407147976,삼성전자,KOSPI
2010-01-15,005930,16840,16640,16860,16580,398401,0.018137847642079707,452.4599429783865,삼성전자,KOSPI
2010-01-18,005930,16860,16800,16920,16560,261691,0.0011876484560569,481.5009427765867,삼성전자,KOSPI
2010-01-19,005930,16460,17000,17000,16440,241308,-0.023724792408066464,454.6311402491208,삼성전자,KOSPI
2010-01-20,005930,16680,16460,16740,16460,384306,0.013365735115431265,443.83970553627995,삼성전자,KOSPI
2010-01-21,005930,17000,16400,17000,16400,340148,0.01918465227817756,442.8080254110429,삼성전자,KOSPI
2010-01-22,005930,16500,16800,16900,16360,470536,-0.02941176470588236,419.497192763966,삼성전자,KOSPI
2010-01-25,005930,16840,16320,16960,16300,412797,0.020606060606060517,409.48105797718085,삼성전자,KOSPI
2010-01-26,005930,16300,16920,16920,16240,375210,-0.03206650831353919,388.40564796154456,삼성전자,KOSPI
2010-01-27,005930,16000,16300,16340,16000,370760,-0.018404907975460127,369.6869230208688,삼성전자,KOSPI
2010-01-28,005930,16160,16160,16300,16060,276614,0.010000000000000009,339.2421895311681,삼성전자,KOSPI
2010-01-29,005930,15680,16000,16019,15600,457285,-0.02970297029702973,365.21947258860797,삼성전자,KOSPI
2010-02-01,005930,15540,15679,15700,15300,501042,-0.008928571428571397,410.878391536456,삼성전자,KOSPI
2010-02-02,005930,15440,15800,15800,15400,393803,-0.006435006435006385,459.83978903413055,삼성전자,KOSPI
2010-02-03,005930,15540,15640,15700,15360,330235,0.006476683937823857,475.39900139390494,삼성전자,KOSPI
2010-02-04,005930,15520,15500,15660,15440,239799,-0.0012870012870013214,503.06324809009215,삼성전자,KOSPI
2010-02-05,005930,15000,15160,15220,14940,515034,-0.03350515463917525,569.0768147206823,삼성전자,KOSPI
2010-02-08,005930,14960,14940,15080,14820,439608,-0.002666666666666706,627.1564901664503,삼성전자,KOSPI
2010-02-09,005930,15220,14959,15220,14840,337459,0.017379679144384985,656.6734348213016,삼성전자,KOSPI
2010-02-10,005930,15100,15260,15280,15039,263846,-0.007884362680683266,690.1555888653743,삼성전자,KOSPI
2010-02-11,005930,15260,15140,15300,15120,265050,0.01059602649006619,697.6313307788124,삼성전자,KOSPI
2010-02-12,005930,15000,15340,15340,14900,458574,-0.017038007863695914,694.7100872041259,삼성전자,KOSPI
2010-02-16,005930,15120,15000,15179,14960,154766,0.008000000000000007,670.4939263432326,삼성전자,KOSPI
2010-02-17,005930,15580,15439,15580,15280,280246,0.030423280423280463,651.1495907037726,삼성전자,KOSPI
2010-02-18,005930,15500,15580,15620,15440,145108,-0.005134788189987138,612.0638081631394,삼성전자,KOSPI
2010-02-19,005930,15200,15380,15540,15180,223000,-0.01935483870967747,532.2553799387006,삼성전자,KOSPI
2010-02-22,005930,15460,15440,15560,15400,231865,0.017105263157894735,485.6888759386328,삼성전자,KOSPI
2010-02-23,005930,15340,15480,15480,15119,251717,-0.0077619663648124115,374.3401211676299,삼성전자,KOSPI
2010-02-24,005930,15040,15179,15220,15000,301431,-0.019556714471968717,325.9496247807983,삼성전자,KOSPI
2010-02-25,005930,14720,15080,15160,14680,386093,-0.021276595744680882,324.0841346252478,삼성전자,KOSPI
2010-02-26,005930,14880,14800,14960,14660,311924,0.010869565217391353,271.3610917306854,삼성전자,KOSPI
2010-03-02,005930,15400,15220,15479,15120,471552,0.034946236559139754,255.0108356831054,삼성전자,KOSPI
2010-03-03,005930,15420,15420,15460,15260,194602,0.0012987012987013546,248.94514297437624,삼성전자,KOSPI
2010-03-04,005930,15220,15420,15440,15120,204388,-0.012970168612191912,244.22595232587383,삼성전자,KOSPI
2010-03-05,005930,15500,15259,15500,15259,235291,0.018396846254927768,241.65220767394308,삼성전자,KOSPI
2010-03-08,005930,15720,15799,15840,15700,391403,0.014193548387096744,258.20432545605587,삼성전자,KOSPI
2010-03-09,005930,15720,15740,15740,15540,244284,0.0,273.8728095110574,삼성전자,KOSPI
2010-03-10,005930,15680,15720,15740,15560,227383,-0.0025445292620864812,278.53753408606013,삼성전자,KOSPI
2010-03-11,005930,15560,15800,15880,15560,392802,-0.007653061224489832,283.47282427998175,삼성전자,KOSPI
2010-03-12,005930,15560,15560,15680,15420,200080,0.0,283.2592266347038,삼성전자,KOSPI
